Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
02/09/2020;Libéria;1305;82;1162;6.28;89.04;4.67
02/09/2020;Lesotho;1085;31;528;2.86;48.66;48.48
02/09/2020;Lituanie;2958;86;1874;2.91;63.35;33.74
02/09/2020;Luxembourg;6745;124;6015;1.84;89.18;8.98
02/09/2020;Lettonie;1406;34;1173;2.42;83.43;14.15
02/09/2020;Libye;15156;250;1746;1.65;11.52;86.83
02/09/2020;Maroc;65453;1216;50357;1.86;76.94;21.21
02/09/2020;Monaco;142;1;91;0.70;64.08;35.21
02/09/2020;Moldavie;37740;1024;26189;2.71;69.39;27.89
02/09/2020;Montenegro;5019;104;4104;2.07;81.77;16.16
02/09/2020;Saint Martin;239;6;79;2.51;33.05;64.44
02/09/2020;Madagascar;15023;196;13965;1.30;92.96;5.74
02/09/2020;Macédoine;14600;606;11741;4.15;80.42;15.43
02/09/2020;Mali;2802;126;2185;4.50;77.98;17.52
02/09/2020;Birmanie;995;6;358;0.60;35.98;63.42
02/09/2020;Mongolie;306;0;296;0.00;96.73;3.27
02/09/2020;Macao;46;0;46;0.00;100.00;0.00
02/09/2020;Martinique;754;18;98;2.39;13.00;84.62
02/09/2020;Mauritanie;7089;160;6548;2.26;92.37;5.37
02/09/2020;Malte;1931;13;1490;0.67;77.16;22.16
02/09/2020;Maurice;356;10;335;2.81;94.10;3.09
02/09/2020;Maldives;8140;29;5338;0.36;65.58;34.07
02/09/2020;Malawi;5579;175;3500;3.14;62.74;34.13
02/09/2020;Mexique;610957;65816;504541;10.77;82.58;6.65
02/09/2020;Malaisie;9360;128;9079;1.37;97.00;1.63
02/09/2020;Mozambique;4117;25;2170;0.61;52.71;46.68
02/09/2020;Namibie;7844;82;3454;1.05;44.03;54.92
02/09/2020;Nouvelle-Calédonie;23;0;23;0.00;100.00;0.00
02/09/2020;Niger;1176;69;1088;5.87;92.52;1.62
02/09/2020;Nigéria;54463;1027;42439;1.89;77.92;20.19
02/09/2020;Nicaragua;4668;141;2913;3.02;62.40;34.58
02/09/2020;Pays-Bas;74660;6267;1282;8.39;1.72;89.89
02/09/2020;Norvège;11034;264;9348;2.39;84.72;12.89
02/09/2020;Népal;41649;251;23290;0.60;55.92;43.48
02/09/2020;Nouvelle-Zélande;1759;22;1622;1.25;92.21;6.54
02/09/2020;Oman;85928;689;81024;0.80;94.29;4.91
02/09/2020;Panama;94084;2030;67487;2.16;71.73;26.11
02/09/2020;Pérou;657129;29068;480177;4.42;73.07;22.50
02/09/2020;Polynésie Française;622;0;336;0.00;54.02;45.98
02/09/2020;Papouasie-Nouvelle-Guinée;471;5;232;1.06;49.26;49.68
02/09/2020;Philippines;226440;3623;158610;1.60;70.05;28.35
02/09/2020;Pakistan;297014;6328;281925;2.13;94.92;2.95
02/09/2020;Pologne;68517;2078;47865;3.03;69.86;27.11
02/09/2020;Palestine;23875;162;15483;0.68;64.85;34.47
02/09/2020;Portugal;58633;1827;42233;3.12;72.03;24.85
02/09/2020;Paraguay;19138;358;9981;1.87;52.15;45.98
02/09/2020;Qatar;119206;199;116111;0.17;97.40;2.43
02/09/2020;Réunion;1796;10;880;0.56;49.00;50.45
02/09/2020;Roumanie;89891;3721;38701;4.14;43.05;52.81
02/09/2020;Serbie;31581;716;0;2.27;0.00;97.73
02/09/2020;Russie;1001965;17365;819043;1.73;81.74;16.52
02/09/2020;Rwanda;4218;17;2071;0.40;49.10;50.50
02/09/2020;Arabie Saoudite;317486;3956;292510;1.25;92.13;6.62
02/09/2020;Seychelles;136;0;127;0.00;93.38;6.62
02/09/2020;Soudan;13189;823;6612;6.24;50.13;43.63
02/09/2020;Suède;84532;5820;0;6.88;0.00;93.12
02/09/2020;Singapour;56860;27;55891;0.05;98.30;1.66
02/09/2020;Slovénie;2979;134;2359;4.50;79.19;16.31
02/09/2020;Slovaquie;4042;33;2523;0.82;62.42;36.76
02/09/2020;Sierra Leone;2029;71;1600;3.50;78.86;17.64
02/09/2020;Saint-Marin;735;42;660;5.71;89.80;4.49
02/09/2020;Sénégal;13743;287;9506;2.09;69.17;28.74
02/09/2020;Somalie;3310;98;2481;2.96;74.95;22.08
02/09/2020;Suriname;4149;72;3272;1.74;78.86;19.40
02/09/2020;Soudan du sud;2532;47;1290;1.86;50.95;47.20
02/09/2020;Sao Tomé-et-Principe;896;15;855;1.67;95.42;2.90
02/09/2020;El Salvador;25904;731;14879;2.82;57.44;39.74
02/09/2020;Syrie;2898;120;661;4.14;22.81;73.05
02/09/2020;Eswatini;4668;94;3585;2.01;76.80;21.19
02/09/2020;Tchad;1017;77;904;7.57;88.89;3.54
02/09/2020;Togo;1434;30;1055;2.09;73.57;24.34
02/09/2020;Thaïlande;3427;58;3277;1.69;95.62;2.68
02/09/2020;Tadjikistan;8654;69;7447;0.80;86.05;13.15
02/09/2020;Timor-Leste;27;0;25;0.00;92.59;7.41
02/09/2020;Tunisie;4196;81;1628;1.93;38.80;59.27
02/09/2020;Turquie;273301;6462;246876;2.36;90.33;7.30
02/09/2020;Trinité-et-Tobago;1920;28;691;1.46;35.99;62.55
02/09/2020;Taïwan;489;7;471;1.43;96.32;2.25
